INFO 2025-10-22 16:11:41,899 autoreload Watching for file changes with StatReloader
WARNING 2025-10-22 16:11:45,872 log Not Found: /
WARNING 2025-10-22 16:11:45,873 basehttp "GET / HTTP/1.1" 404 3761
INFO 2025-10-22 16:11:52,190 basehttp "GET /admin/ HTTP/1.1" 200 13328
INFO 2025-10-22 16:11:52,208 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,208 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,212 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,219 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,221 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,226 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,229 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,234 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-10-22 16:11:52,234 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-10-22 19:29:29,965 autoreload Watching for file changes with StatReloader
WARNING 2025-10-22 19:29:33,360 log Not Found: /
WARNING 2025-10-22 19:29:33,361 basehttp "GET / HTTP/1.1" 404 3761
WARNING 2025-10-22 19:29:33,749 log Not Found: /favicon.ico
WARNING 2025-10-22 19:29:33,750 basehttp "GET /favicon.ico HTTP/1.1" 404 3812
INFO 2025-10-22 19:29:39,801 basehttp "GET /admin HTTP/1.1" 301 0
INFO 2025-10-22 19:29:39,889 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-10-22 19:29:40,482 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-10-22 19:29:41,637 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-10-22 19:29:41,640 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-10-22 19:29:41,701 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-10-22 19:29:41,704 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-10-22 19:29:41,709 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-10-22 19:29:41,751 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-10-22 19:29:41,848 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-10-22 19:29:56,209 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-10-22 19:29:56,404 basehttp "GET /admin/ HTTP/1.1" 200 13328
INFO 2025-10-22 19:29:56,423 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-10-22 19:29:56,444 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-10-22 19:29:56,470 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-10-23 15:30:52,556 autoreload Watching for file changes with StatReloader
WARNING 2025-10-23 15:31:00,460 log Not Found: /
WARNING 2025-10-23 15:31:00,460 basehttp "GET / HTTP/1.1" 404 3761
WARNING 2025-10-23 15:31:01,649 log Not Found: /favicon.ico
WARNING 2025-10-23 15:31:01,755 basehttp "GET /favicon.ico HTTP/1.1" 404 3812
INFO 2025-10-23 16:38:50,721 basehttp "GET /admin/ HTTP/1.1" 200 13328
INFO 2025-10-23 16:38:50,736 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,738 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,746 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,746 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,748 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,748 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,750 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,757 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-10-23 16:38:50,758 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,739 basehttp "GET /admin/users/user/ HTTP/1.1" 200 18121
INFO 2025-10-23 16:38:54,760 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,767 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,771 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,774 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,784 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,785 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,787 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,787 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-10-23 16:38:54,877 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-23 16:38:55,256 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
